country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Hong Kong, China",,,,,,,42,,,,,49.6,,,,,71.9,,,,,72.3,,,,,80.8,,,,,86,,,,,86,,,,,84,,,,,79.5,,,,,74.8,,,,,66.7,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,26.9,,,34.9,,,40.6,,,,,46.7,,,,49.2,,,,,61.8,,,,,65.2,,,,,,73.2,,,,,,,69.4,,,,,
Haiti,,,,,,,,,,,,,,,,,18.9,,,,,,6.9,,,,6.7,,10.2,,,,,,18,,,,,28.1,,,,,,32,,,,,,34.5,,,,,34.3,,,,,,,
Hungary,,,,,,66.6,,,67,,,73,,74,76,,73.1,,,,,,,,,73.1,,,,,,,80.7,,,,,,,,,,,,,,,,61.8,,,,,,,,,,,,,,,
Indonesia,,,,,,,,,,,,,8.6,,,26.3,,,31.2,,,,,,38.5,,47.7,,,,49.7,,53.1,54.7,54.2,54.2,57.4,55.4,55.4,54.8,52.5,54.2,60.3,56.7,57.9,57.9,61.4,56.6,60.6,61,61.3,61.9,62,61.6,60,59.4,63.6,,52.5,52.7,51.9,52.4,52.6,
India,,,,,,,,,,,13.6,,,,,,,,,,35.3,,,,,,,44.9,,,,,40.7,,,,,,48.2,46.9,,,,53,54.4,56.3,,54.8,,,,,,,,53.5,,,,,66.7,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.7,64.8,,,,,73.3,,,,,,,,,,,,,,
Iran,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,48.9,,,64.6,67.8,70,72.8,73.7,72.9,,,73.8,,73.3,,,,,,,,77.4,,,,,,,,,,,,,,
Iraq,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,13.7,,,,,,,,,,,43.5,,,,,,49.8,,,,,52.5,,,,,,,52.8,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7,,,,,,,,,,,,,,,,,65.1,,,,,,,,,,,
Jamaica,,,,,,,,,,,,,,,,38.3,,,54.9,,,,51.4,,,,,,54.6,,,,62,,,,65.7,,,,,,69.1,,,,,72.5,,,,,,,,,,,,,,60.6,,
Jordan,,,,,,,,,,,,26.1,,,,25.2,,,,,,,26,,,,,,,40,,,,,,,52.6,,,,,55.8,,,,,56.8,,59.3,,,61.2,,,,,,51.8,,,,,60.1,
Japan,42,,44.6,,55.5,,53,,52.1,,52.6,,59.3,,60.5,,60.4,,62.2,,,,,57.3,,62.8,64.5,56.3,,57.9,,64,,58.6,,56.6,60.4,54.1,,55.9,,,,52,54.3,,,,,,,,,54.7,39.8,,,,,,58.3,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1,,,,66.1,,,,,,,50.7,,,,,51,,,,55.7,,,53,,,,,,
Kenya,,,,,,,,,,,,,,,,,,7,,,,,,17,,,,,26.9,,,,32.7,,,,,39,,,,,39.3,,,,,,45.5,,,,,58,64.1,61.2,60,61.9,59.8,65.1,64.7,62.5,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5,,,,,,,,,47.8,,,,,,36.3,,41.9,,,,39.4,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,21.8,,23.8,,,,,40,,,,,50.5,,,,56.3,,,,,,,,61.9,,
