Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP,AT,BE,CA,CH,ES,FR,ID,IN,IT,MX,NL,RU,TH,TR,ZA,AE,BR,CO,DK,HK,IE,LU,MY,NO,NZ,PH,PL,SE,SG,TW,AR,CL,CR,CZ,EC,EE,EG,FI,GR,GT,HU,IL,KE,KZ,LB,LT,NG,PE,PT,RO,SA,SI,SK,UA,VN
154,4,Guy Sebastian - Get It Done,9,90,,1193,-24,0.018,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,NEW,FRAME & Mofumofuen - Mugendai Glow Up,1,155,,1193,1193,0.001,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,NEW,Olly Murs - Save Me,7,103,,1192,461,0.013,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,
157,-26,Scotty McCreery - Bottle Rockets,42,113,,1189,-208,0.082,29,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,-22,Caleb & John - Finished,4,136,,1188,-154,0.006,75,,,,,,,166,,,,,,,,,,,,15,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,-60,Alfa & Manu Chao - a me mi piace,50,83,,1182,-438,0.097,,,,,,,,,58,,,,,2,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,NEW,Midnight Til Morning - Bye,1,160,,1173,1173,0.001,,114,131,53,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,-20,Snow Man - SERIOUS,6,59,,1170,-145,0.011,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,-81,Taylor Swift - august,68,31,,1170,-668,0.188,195,138,129,,,91,,,,72,,,,177,,,,,,,,,,,,19,,77,69,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
163,NEW,oskar med k - Make Me Feel,17,77,,1165,624,0.029,,166,109,,,,51,,,,166,,,,,,,,,112,,,14,,,,,,,85,,62,,,,,,,,,,,,,94,,,,,,,,,,87,,,,,
164,-12,Post Malone - I Had Some Help,439,5,,1155,-80,1.623,50,,,91,,,,85,,,,,,,,,,,,160,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
